Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
16:36:16:55.104,61,0,0,0,0.101392329,0.608802378,0.628607631,0.662096739,0,0,0.211695895,0,0.604998231,0.629105926,0.662115634,0.130175561,0,0.027075203,0.2693519,0.083701678,0.15302363,0.073561378,0.024302987,0,0.35597381,0.34623459,0,0,0.074642956,0.073267162,0.227112055,0.23282592,0.081566066,0.052284129,0.072555356,0.061475504,0.026287077,0.027886417,0.452712506,0.42792955,0.070116729,0.068986617,0.167602122,0.167150095,0.163491815,0,0,0.008595998,0.22418417,0.245917484,0.108833641,0.103143349,5E-10,0,0,0,-0.12481416,-0.26609996,0.03391856,-0.059761953,-0.266126752,0.016279537
16:36:16:56.105,61,0,0,0,0.10431274,0.601100385,0.627884865,0.661513209,0,0,0.214963526,0,0.597253919,0.628394663,0.661532462,0.129714832,0,0.026133763,0.268601984,0.083677873,0.152407795,0.073547646,0.024190618,0,0.357348472,0.347647846,0,0,0.074430689,0.073131815,0.22650376,0.231952921,0.081464686,0.052276775,0.072332338,0.061297681,0.026278086,0.027888384,0.45277831,0.427792847,0.069978125,0.068843633,0.168991789,0.168535352,0.163056567,0,0,0.008605137,0.224051535,0.246121645,0.108576924,0.103008516,5E-10,0,0,0,-0.126855612,-0.262761951,0.034017198,-0.061539069,-0.262788683,0.016542656
16:36:16:57.107,61,0,0,0,0.104413435,0.603898287,0.628026664,0.660965204,0,0,0.2149335,0,0.600039542,0.62853682,0.660984993,0.129198492,0,0.025784867,0.266261041,0.083832339,0.151997969,0.073623844,0.024092862,0,0.35782823,0.34803924,0,0,0.074241951,0.073006392,0.226094261,0.231402129,0.081662789,0.052341066,0.072288685,0.061205752,0.02629105,0.027909804,0.449052155,0.423952758,0.069760397,0.068609715,0.169021532,0.168571219,0.163040698,0,0,0.008629889,0.224202201,0.246514872,0.108425386,0.102918655,5E-10,0,0,0,-0.126796469,-0.263985902,0.034167275,-0.061578196,-0.264012694,0.016633937
16:36:16:58.109,61,0,0,0,0.10495545,0.603330851,0.627998114,0.660720348,0,0,0.215513215,0,0.599460602,0.628508151,0.660740256,0.128666848,0,0.025758946,0.263897151,0.084019564,0.151652724,0.073658235,0.023901491,0,0.358011991,0.348162353,0,0,0.074070096,0.072892189,0.225678518,0.230927765,0.081930995,0.052382365,0.072316326,0.061168909,0.026296554,0.027922478,0.446378946,0.421476126,0.06958697,0.068446748,0.170300856,0.169869721,0.162626714,0,0,0.008656088,0.224215582,0.246796995,0.108429991,0.102990076,5E-10,0,0,0,-0.127146974,-0.263743162,0.034228146,-0.061901946,-0.263769925,0.016705157
16:36:16:59.110,61,0,0,0,0.104432851,0.602232575,0.628165186,0.660601258,0,0,0.215119004,0,0.598375142,0.628669143,0.660621226,0.128060699,0,0.025890905,0.261531144,0.084266752,0.151176736,0.073673114,0.023683114,0,0.358439595,0.348510653,0,0,0.073873922,0.072749004,0.225185901,0.230387628,0.082195081,0.05243212,0.072338104,0.061107308,0.026303951,0.027936507,0.444516689,0.41977638,0.069407567,0.068277203,0.178251833,0.177847073,0.161989406,0,0,0.008685987,0.224412695,0.24725695,0.108517773,0.103128292,6E-10,0,0,0,-0.126930669,-0.26325798,0.034104463,-0.061601721,-0.263284743,0.016592218
16:36:17:00.112,61,0,0,0,0.101606883,0.602861226,0.628530324,0.660668135,0,0,0.21232,0,0.599066377,0.629022718,0.660688102,0.127049089,0,0.026106224,0.255222112,0.084553622,0.150815383,0.07370805,0.023449758,0,0.360794842,0.34997651,0,0,0.073625356,0.072543167,0.223984852,0.229256392,0.08258722,0.052428152,0.072532974,0.061171427,0.026316386,0.027949994,0.437008143,0.413163841,0.069323339,0.068190165,0.180846974,0.180449486,0.161605537,0,0,0.008722783,0.225407422,0.24916023,0.108838134,0.103464931,1.3E-09,0,0,0,-0.125269607,-0.263505369,0.033693969,-0.059930485,-0.263532162,0.016158596
16:36:17:01.113,61,0,0,0,0.102038518,0.601759374,0.628723919,0.660535991,0,0,0.21281001,0,0.597957671,0.629208386,0.66055578,0.126528487,0,0.026357338,0.253132403,0.084701493,0.150294244,0.07367149,0.023228083,0,0.362739056,0.352041721,0,0,0.07342004,0.072375104,0.223183349,0.228419125,0.082800992,0.052421395,0.072587498,0.06116664,0.026329538,0.027970742,0.43519643,0.411514998,0.069279179,0.068165176,0.182593212,0.182200611,0.160990238,0,0,0.008749181,0.225777254,0.249909207,0.109070867,0.103755884,1.9E-09,0,0,0,-0.125574932,-0.263027877,0.033711527,-0.060192846,-0.263054758,0.016198436
16:36:17:02.115,61,0,0,0,0.10202232,0.600969791,0.628862858,0.660223603,0,0,0.212751567,0,0.597174943,0.629342258,0.660243392,0.125915423,0,0.026547158,0.251787365,0.084631525,0.150076002,0.073626623,0.023100201,0,0.363698244,0.352945715,0,0,0.073136494,0.072138123,0.222441107,0.227666318,0.08284229,0.052242354,0.072729603,0.061324883,0.026312651,0.027957751,0.434193552,0.410531789,0.069553785,0.068426207,0.183753431,0.183363125,0.160831347,0,0,0.008773974,0.226244509,0.250617325,0.109444477,0.104158521,3.2E-09,0,0,0,-0.125551939,-0.262682676,0.033659086,-0.060188867,-0.262709439,0.016175101
16:36:17:03.117,61,0,0,0,0.101077884,0.599000216,0.629112124,0.65993619,0,0,0.21185489,0,0.595236778,0.629585922,0.659956098,0.125668541,0,0.02666094,0.251373202,0.084408879,0.14976877,0.073518664,0.022968534,0,0.364604563,0.354599208,0,0,0.072932303,0.071973108,0.221829951,0.226964116,0.082757056,0.052056179,0.072873421,0.061542526,0.026314221,0.027963994,0.435938478,0.411456853,0.070000425,0.06888555,0.185591415,0.18519564,0.160417348,0,0,0.008796605,0.226729989,0.251352698,0.109933034,0.104675338,5.7E-09,0,0,0,-0.125051275,-0.261812925,0.033409499,-0.059645493,-0.261839688,0.015973702
16:36:17:04.118,61,0,0,0,0.099881418,0.602038026,0.634472251,0.659897327,0,0,0.210535854,0,0.598291814,0.634857118,0.659917474,0.125381753,0,0.026690492,0.250796676,0.084187254,0.14919667,0.07320869,0.022838675,0,0.367944121,0.359301508,0,0,0.07275334,0.071829997,0.221330255,0.226300493,0.082793467,0.051870879,0.073243648,0.061943639,0.026346274,0.027996842,0.43635717,0.411676198,0.070579983,0.069480971,0.196673825,0.196252301,0.159154415,0,0,0.008808653,0.22743693,0.253851354,0.114731908,0.108865909,0.000000009,0,0,0,-0.124228619,-0.263129383,0.033365712,-0.058918554,-0.263156056,0.015862372
